,area,population,density
Spain,498511,46733038,93.74524935257196
Portugal,91568,10276617,112.22934868076185
Italy,301338,60390560,200.40804677803663
Greece,131957,10768193,81.60380275392741
France,551695,67372000,122.11819936740409
Bulgaria,110994,7000039,63.06682343189722
